Complexity,Loss,Equation
1,0.4367692,"x5"
3,0.3890773,"x5 * 0.78159267"
6,0.37065464,"sin(x5 * 0.114940114) / 0.12568851"
8,0.37052122,"(cube(x5) * -0.001750489) + (x5 * 0.90949196)"
9,0.36906737,"(x5 * 0.77280086) + cube(tanh(x5 * x6))"
10,0.36084005,"(x5 * 0.61837083) + tanh(x5 * (x6 + 0.36989573))"
11,0.35223952,"tanh(x5 * square(x7 + x6)) + (x5 * 0.69669175)"
12,0.34650734,"tanh(((x7 + 0.4193065) + x6) * x5) + (x5 * 0.63167006)"
14,0.33175164,"(x5 * 0.5003492) + (tanh(x5 * ((x6 + x7) + 0.38486728)) / 0.48883787)"
15,0.3214286,"(tanh((tanh(x6 + x7) + 0.36871356) * x5) / 0.34063193) + (x5 * 0.39773053)"
